Match,Innings,match_date,Versus,Ground,How Dismissed,Runs,Balls_faced,strike_rate
1,1,12/18/1989,Pakistan,Jinnah Stadium (Gujwranwala),c Wasim Akram b Waqar Younis,0,2,0
2,2,3/1/1990,New Zealand,Carisbrook,c & b S A Thomson,0,2,0
3,3,3/6/1990,New Zealand,Basin Reserve,c †I D S Smith b S A Thomson,36,39,92.31
4,4,4/25/1990,Sri Lanka,Sharjah Cricket Stadium,run out,10,12,83.33
5,5,4/27/1990,Pakistan,Sharjah Cricket Stadium,c Saeed Anwar b Imran Khan,20,25,80
6,6,7/18/1990,England,Headingley,b D E Malcolm,19,35,54.29
7,7,7/20/1990,England,Trent Bridge,b A R C Fraser,31,26,119.23
8,8,12/1/1990,Sri Lanka,Vidarbha Cricket Association Ground,b R J Ratnayake,36,22,163.64
9,9,12/5/1990,Sri Lanka,Nehru Stadium (Pune),b G F Labrooy,53,41,129.27
10,10,12/8/1990,Sri Lanka,Nehru Stadium (Margao),c & b S D Anurasiri,30,29,103.45
11,,12/25/1990,Bangladesh,Sector 16 Stadium,did not bat,,,
12,11,12/28/1990,Sri Lanka,Barabati Stadium,lbw b A Ranatunga,4,11,36.36
13,12,1/4/1991,Sri Lanka,Eden Gardens,lbw b R J Ratnayake,53,70,75.71
14,13,10/18/1991,Pakistan,Sharjah Cricket Stadium,not out,52,40,130
15,14,10/19/1991,West Indies,Sharjah Cricket Stadium,run out,22,27,81.48
16,15,10/22/1991,West Indies,Sharjah Cricket Stadium,not out,11,27,40.74
17,16,10/23/1991,Pakistan,Sharjah Cricket Stadium,c sub b Saleem Malik,49,38,128.95
18,17,10/25/1991,Pakistan,Sharjah Cricket Stadium,lbw b Aaqib Javed,0,1,0
19,18,11/10/1991,South Africa,Eden Gardens,c R P Snell b A A Donald,62,73,84.93
20,19,11/12/1991,South Africa,Captain Roop Singh Stadium,c †D J Richardson b C R Matthews,4,8,50
21,20,11/14/1991,South Africa,Jawaharlal Nehru Stadium (Delhi),c S J Cook b A A Donald,1,3,33.33
22,21,12/6/1991,West Indies,WACA Ground,c R B Richardson b A C Cummins,1,9,11.11
23,22,12/8/1991,Australia,WACA Ground,c P L Taylor b T M Moody,36,65,55.38
24,23,12/10/1991,Australia,Bellerive Oval,c S R Waugh b P L Taylor,57,107,53.27
25,24,12/14/1991,West Indies,Adelaide Oval,c & b K L T Arthurton,48,57,84.21
26,25,12/15/1991,Australia,Adelaide Oval,c D M Jones b S R Waugh,21,35,60
27,26,1/11/1992,West Indies,Brisbane Cricket Ground,c sub b A C Cummins,77,127,60.63
28,27,1/14/1992,Australia,Sydney Cricket Ground,run out,31,44,70.45
29,28,1/16/1992,West Indies,Melbourne Cricket Ground,not out,57,88,64.77
30,29,1/18/1992,Australia,Melbourne Cricket Ground,c M R Whitney b T M Moody,4,10,40
31,30,1/20/1992,Australia,Sydney Cricket Ground,c M R Whitney b S R Waugh,69,100,69
32,31,2/22/1992,England,WACA Ground,c †A J Stewart b I T Botham,35,44,79.55
33,,2/28/1992,Sri Lanka,Harrup Park,did not bat,,,
34,32,3/1/1992,Australia,Brisbane Cricket Ground,c S R Waugh b T M Moody,11,19,57.89
35,33,3/4/1992,Pakistan,Sydney Cricket Ground,not out,54,62,87.1
36,34,3/7/1992,Zimbabwe,Seddon Park,c A D R Campbell b M G Burmester,81,77,105.19
37,35,3/10/1992,West Indies,Basin Reserve,c †D Williams b C E L Ambrose,4,11,36.36
38,36,3/12/1992,New Zealand,Carisbrook,c †I D S Smith b C Z Harris,84,107,78.5
39,37,3/15/1992,South Africa,Adelaide Oval,c K C Wessels b A P Kuiper,14,14,100
40,38,10/25/1992,Zimbabwe,Harare Sports Club,c D H Brain b G J Crocker,39,56,69.64
41,39,12/7/1992,South Africa,Newlands,b B M McMillan,15,27,55.56
42,40,12/9/1992,South Africa,St George's Park,c †D J Richardson b D J Callaghan,10,36,27.78
43,41,12/11/1992,South Africa,SuperSport Park,c †D J Richardson b C R Matthews,22,24,91.67
44,42,12/13/1992,South Africa,Wanderers Stadium,c B M McMillan b A A Donald,21,44,47.73
45,43,12/15/1992,South Africa,Mangaung Oval,b P S De Villiers,32,52,61.54
46,44,12/17/1992,South Africa,Kingsmead,c W J Cronje b M W Pringle,23,39,58.97
47,45,12/19/1992,South Africa,Buffalo Park,c †D J Richardson b C R Matthews,21,38,55.26
48,46,1/18/1993,England,Sawai Mansingh Stadium,not out,82,81,101.23
49,47,1/21/1993,England,Sector 16 Stadium,lbw b P A J De Freitas,1,5,20
50,48,2/26/1993,England,M Chinnaswamy Stadium,c G A Hick b C C Lewis,3,6,50
51,49,3/1/1993,England,Keenan Stadium,b P W Jarvis,24,32,75
52,50,3/4/1993,England,Captain Roop Singh Stadium,b P W Jarvis,5,6,83.33
53,51,3/5/1993,England,Captain Roop Singh Stadium,c sub b C C Lewis,34,30,113.33
54,52,3/19/1993,Zimbabwe,Nahar Singh Stadium,c & b G W Flower,3,9,33.33
55,53,3/22/1993,Zimbabwe,Nehru Stadium (Guwahati),not out,8,6,133.33
56,,3/25/1993,Zimbabwe,Nehru Stadium (Pune),did not bat,,,
57,54,7/25/1993,Sri Lanka,R Premadasa Stadium,c A P Gurusinha b S T Jayasuriya,21,39,53.85
58,55,8/12/1993,Sri Lanka,R Premadasa Stadium,run out,15,30,50
59,56,8/14/1993,Sri Lanka,Tyronne Fernando Stadium,c M Muralitharan b S T Jayasuriya,25,39,64.1
60,57,11/7/1993,Sri Lanka,Green Park,not out,26,30,86.67
61,58,11/16/1993,West Indies,Narendra Modi Stadium,lbw b C A Walsh,2,8,25
62,59,11/18/1993,Zimbabwe,Nehru Stadium (Indore),c & b H H Streak,24,16,150
63,60,11/22/1993,South Africa,Punjab Cricket Association IS Bindra Stadium,c †D J Richardson b W J Cronje,3,25,12
64,61,11/24/1993,South Africa,Eden Gardens,c †D J Richardson b R P Snell,15,31,48.39
65,62,11/27/1993,West Indies,Eden Gardens,not out,28,43,65.12
66,63,2/15/1994,Sri Lanka,Madhavrao Scindia Cricket Ground,c A Ranatunga b R S Kalpage,1,5,20
67,64,2/18/1994,Sri Lanka,Lal Bahadur Shastri Stadium,not out,11,18,61.11
68,65,2/20/1994,Sri Lanka,Gandhi Stadium,run out,52,63,82.54
69,66,3/25/1994,New Zealand,McLean Park,c K R Rutherford b D J Nash,15,19,78.95
70,67,3/27/1994,New Zealand,Eden Park,c & b M N Hart,82,49,167.35
71,68,3/30/1994,New Zealand,Basin Reserve,lbw b G R Larsen,63,75,84
72,69,4/2/1994,New Zealand,AMI Stadium,b G R Larsen,40,26,153.85
73,70,4/13/1994,United Arab Emirates,Sharjah Cricket Stadium,c †Imtiaz Abbasi b Sultan Zarawani,63,77,81.82
74,71,4/15/1994,Pakistan,Sharjah Cricket Stadium,c Basit Ali b Akram Raza,73,64,114.06
75,72,4/19/1994,Australia,Sharjah Cricket Stadium,c M A Taylor b G D McGrath,6,7,85.71
76,73,4/22/1994,Pakistan,Sharjah Cricket Stadium,c Aamir Sohail b AtaUrRehman,24,26,92.31
77,74,9/4/1994,Sri Lanka,R Premadasa Stadium,not out,11,16,68.75
78,75,9/5/1994,Sri Lanka,R Premadasa Stadium,c H D P K Dharmasena b G P Wickramasinghe,6,5,120
79,76,9/9/1994,Australia,R Premadasa Stadium,b C J McDermott,110,130,84.62
80,77,9/17/1994,Sri Lanka,Sinhalese Sports Club Ground,c P A de Silva b W P U J C Vaas,0,2,0
81,78,10/17/1994,West Indies,Nahar Singh Stadium,c B C Lara b C A Walsh,0,4,0
82,79,10/20/1994,West Indies,Wankhede Stadium,c C L Hooper b C E Cuffy,0,4,0
83,80,10/23/1994,West Indies,MA Chidambaram Stadium,c C L Hooper b A C Cummins,8,24,33.33
84,81,10/28/1994,New Zealand,Reliance Stadium,run out,115,136,84.56
85,82,10/30/1994,West Indies,Green Park,b A C Cummins,34,47,72.34
86,83,11/3/1994,New Zealand,Arun Jaitley Stadium,b M N Hart,62,54,114.81
87,84,11/5/1994,West Indies,Eden Gardens,c S C Williams b C E Cuffy,66,68,97.06
88,85,11/7/1994,West Indies,Indira Priyadarshini Stadium,c A C Cummins b C L Hooper,54,64,84.38
89,86,11/9/1994,West Indies,Barabati Stadium,b P V Simmons,88,112,78.57
90,87,11/11/1994,West Indies,Sawai Mansingh Stadium,c †J C Adams b B S Browne,105,134,78.36
91,88,2/16/1995,New Zealand,McLean Park,c S A Thomson b D K Morrison,13,15,86.67
92,89,2/18/1995,South Africa,Seddon Park,c P L Symcox b W J Cronje,37,51,72.55
93,90,2/22/1995,Australia,Carisbrook,c M A Taylor b J Angel,47,40,117.5
94,91,4/5/1995,Bangladesh,Sharjah Cricket Stadium,b Mohammad Rafique,48,30,160
95,92,4/7/1995,Pakistan,Sharjah Cricket Stadium,c †Moin Khan b Aaqib Javed,4,9,44.44
96,93,4/9/1995,Sri Lanka,Sharjah Cricket Stadium,not out,112,107,104.67
97,94,4/14/1995,Sri Lanka,Sharjah Cricket Stadium,c S T Jayasuriya b C P H Ramanayake,41,41,100
98,95,11/15/1995,New Zealand,Keenan Stadium,c M J Greatbatch b D K Morrison,30,20,150
99,96,11/18/1995,New Zealand,Gandhi Sports Complex Ground,c †L K Germon b S A Thomson,39,51,76.47
100,97,11/24/1995,New Zealand,Nehru Stadium (Pune),c G R Larsen b D K Morrison,7,11,63.64
101,98,11/26/1995,New Zealand,Vidarbha Cricket Association Ground,run out,65,59,110.17
102,99,11/29/1995,New Zealand,Brabourne Stadium,b D K Morrison,1,4,25
103,100,2/18/1996,Kenya,Barabati Stadium,not out,127,138,92.03
104,101,2/21/1996,West Indies,Captain Roop Singh Stadium,run out,70,91,76.92
105,102,2/27/1996,Australia,Wankhede Stadium,st I A Healy b M E Waugh,90,84,107.14
106,103,3/2/1996,Sri Lanka,Arun Jaitley Stadium,run out,137,137,100
107,104,3/6/1996,Zimbabwe,Green Park,b H H Streak,3,12,25
108,105,3/9/1996,Pakistan,M Chinnaswamy Stadium,b AtaUrRehman,31,59,52.54
109,106,3/13/1996,Sri Lanka,Eden Gardens,st R S Kaluwitharana b S T Jayasuriya,65,88,73.86
110,107,4/3/1996,Sri Lanka,Padang Cricket Ground,c S T Jayasuriya b G P Wickramasinghe,28,31,90.32
111,108,4/5/1996,Pakistan,Padang Cricket Ground,st Rashid Latif b Saqlain Mushtaq,100,111,90.09
112,109,4/12/1996,Pakistan,Sharjah Cricket Stadium,c Saeed Anwar b Aaqib Javed,1,5,20
113,110,4/14/1996,South Africa,Sharjah Cricket Stadium,c G Kirsten b P S De Villiers,2,15,13.33
114,111,4/15/1996,Pakistan,Sharjah Cricket Stadium,c Aamir Sohail b Waqar Younis,118,140,84.29
115,112,4/17/1996,South Africa,Sharjah Cricket Stadium,c G Kirsten b P S De Villiers,17,26,65.38
116,113,4/19/1996,South Africa,Sharjah Cricket Stadium,run out,57,71,80.28
117,114,5/23/1996,England,Kennington Oval,lbw b P J Martin,30,19,157.89
118,115,5/25/1996,England,Headingley,run out,6,19,31.58
119,116,5/26/1996,England,Old Trafford,c G A Hick b D G Cork,1,11,9.09
120,117,8/28/1996,Sri Lanka,R Premadasa Stadium,run out,110,138,79.71
121,118,9/1/1996,Zimbabwe,Sinhalese Sports Club Ground,c B C Strang b H H Streak,40,46,86.96
122,119,9/6/1996,Australia,Sinhalese Sports Club Ground,c S R Waugh b G D McGrath,7,11,63.64
123,120,9/16/1996,Pakistan,"Cricket, Skating & Curling Club",not out,89,89,100
124,121,9/17/1996,Pakistan,"Cricket, Skating & Curling Club",c Wasim Akram b Azhar Mahmood,20,23,86.96
125,122,9/18/1996,Pakistan,"Cricket, Skating & Curling Club",c Aamir Sohail b Wasim Akram,2,13,15.38
126,123,9/21/1996,Pakistan,"Cricket, Skating & Curling Club",c Saleem Malik b Wasim Akram,3,9,33.33
127,124,9/23/1996,Pakistan,"Cricket, Skating & Curling Club",run out,23,44,52.27
128,125,10/17/1996,South Africa,Lal Bahadur Shastri Stadium,c D J Cullinan b P S De Villiers,11,8,137.5
129,126,10/21/1996,Australia,M Chinnaswamy Stadium,lbw b S R Waugh,88,111,79.28
130,127,10/23/1996,South Africa,Sawai Mansingh Stadium,c G Kirsten b B M McMillan,64,93,68.82
131,128,10/29/1996,South Africa,Madhavrao Scindia Cricket Ground,lbw b A A Donald,28,38,73.68
132,129,11/3/1996,Australia,Punjab Cricket Association IS Bindra Stadium,c S G Law b M E Waugh,62,60,103.33
133,130,11/6/1996,South Africa,Wankhede Stadium,c W J Cronje b N Boje,67,88,76.14
134,131,12/14/1996,South Africa,Wankhede Stadium,st G Kirsten b N Boje,114,126,90.48
135,132,1/23/1997,South Africa,Mangaung Oval,b S M Pollock,0,4,0
136,133,1/27/1997,Zimbabwe,Boland Park,c A D R Campbell b E A Brandes,6,8,75
137,134,2/2/1997,South Africa,St George's Park,b A A Donald,1,14,7.14
138,135,2/4/1997,South Africa,Buffalo Park,c D J Cullinan b L Klusener,14,24,58.33
139,136,2/7/1997,Zimbabwe,SuperSport Park,c A C Waller b A D R Campbell,41,56,73.21
140,137,2/9/1997,Zimbabwe,Willowmoore Park,c A D R Campbell b C N Evans,104,97,107.22
141,138,2/12/1997,South Africa,Kingsmead,c J N Rhodes b L Klusener,32,27,118.52
142,139,2/13/1997,South Africa,Kingsmead,c R E Bryson b W J Cronje,45,33,136.36
143,140,2/15/1997,Zimbabwe,Queens Sports Club,c G W Flower b E A Brandes,13,15,86.67
144,141,4/26/1997,West Indies,Queen's Park Oval,c †C O Browne b C E L Ambrose,44,43,102.33
145,142,4/27/1997,West Indies,Queen's Park Oval,not out,65,70,92.86
146,143,4/30/1997,West Indies,Arnos Vale Ground,b C A Walsh,9,15,60
147,144,5/3/1997,West Indies,Kensington Oval,c B C Lara b C A Walsh,1,11,9.09
148,145,5/14/1997,New Zealand,M Chinnaswamy Stadium,b N J Astle,117,137,85.4
149,146,5/17/1997,Sri Lanka,Wankhede Stadium,c H D P K Dharmasena b K S C de Silva,2,4,50
150,147,5/21/1997,Pakistan,MA Chidambaram Stadium,c InzamamulHaq b Aaqib Javed,4,7,57.14
151,148,7/18/1997,Sri Lanka,R Premadasa Stadium,b W P U J C Vaas,21,28,75
152,,7/20/1997,Pakistan,Sinhalese Sports Club Ground,did not bat,,,
153,149,7/24/1997,Bangladesh,Sinhalese Sports Club Ground,b Enamul Haque,28,21,133.33
154,150,7/26/1997,Sri Lanka,R Premadasa Stadium,c R S Kalpage b M Muralitharan,53,67,79.1
155,151,8/17/1997,Sri Lanka,R Premadasa Stadium,c M Muralitharan b W P U J C Vaas,27,28,96.43
156,152,8/20/1997,Sri Lanka,R Premadasa Stadium,lbw b W P U J C Vaas,6,6,100
157,153,8/23/1997,Sri Lanka,Sinhalese Sports Club Ground,c A Ranatunga b D K Liyanage,27,31,87.1
158,154,8/24/1997,Sri Lanka,Sinhalese Sports Club Ground,c †S K L de Silva b K S C de Silva,39,32,121.88
159,155,9/13/1997,Pakistan,"Cricket, Skating & Curling Club",c Mohammad Akram b Azhar Mahmood,17,54,31.48
160,156,9/14/1997,Pakistan,"Cricket, Skating & Curling Club",not out,25,45,55.56
161,,9/17/1997,Pakistan,"Cricket, Skating & Curling Club",did not bat,,,
162,157,9/18/1997,Pakistan,"Cricket, Skating & Curling Club",c †Moin Khan b Mohammad Akram,0,10,0
163,158,9/20/1997,Pakistan,"Cricket, Skating & Curling Club",c †Moin Khan b Shahid Nazir,6,7,85.71
164,159,9/21/1997,Pakistan,"Cricket, Skating & Curling Club",lbw b Azhar Mahmood,51,64,79.69
165,160,9/28/1997,Pakistan,Niaz Stadium,b Waqar Younis,2,11,18.18
166,161,9/30/1997,Pakistan,National Stadium (Karachi),c †Moin Khan b Azhar Mahmood,21,18,116.67
167,162,10/2/1997,Pakistan,Gaddafi Stadium,c InzamamulHaq b Aaqib Javed,7,11,63.64
168,163,12/11/1997,England,Sharjah Cricket Stadium,st A J Stewart b M V Fleming,91,87,104.6
169,164,12/14/1997,Pakistan,Sharjah Cricket Stadium,c InzamamulHaq b Manzoor Akhtar,3,4,75
170,165,12/16/1997,West Indies,Sharjah Cricket Stadium,run out,1,2,50
171,166,12/22/1997,Sri Lanka,Nehru Stadium (Guwahati),not out,82,86,95.35
172,,12/25/1997,Sri Lanka,Nehru Stadium (Indore),did not bat,,,
173,167,12/28/1997,Sri Lanka,Nehru Stadium (Margao),c K S C de Silva b M Muralitharan,6,13,46.15
174,168,1/10/1998,Bangladesh,Bangabandhu National Stadium,c & b Mohammad Rafique,54,76,71.05
175,169,1/11/1998,Pakistan,Bangabandhu National Stadium,st Rashid Latif b Saqlain Mushtaq,67,44,152.27
176,170,1/14/1998,Pakistan,Bangabandhu National Stadium,b Shahid Afridi,95,78,121.79
177,171,1/16/1998,Pakistan,Bangabandhu National Stadium,b Azhar Mahmood,1,6,16.67
178,172,1/18/1998,Pakistan,Bangabandhu National Stadium,c Azhar Mahmood b Shahid Afridi,41,26,157.69
179,173,4/1/1998,Australia,Nehru Stadium (Kochi),c R T Ponting b M S Kasprowicz,8,11,72.73
180,174,4/5/1998,Zimbabwe,Reliance Stadium,run out,5,17,29.41
181,175,4/7/1998,Australia,Green Park,c sub b S K Warne,100,89,112.36
182,176,4/9/1998,Zimbabwe,Barabati Stadium,c †A Flower b M Mbangwa,1,2,50
183,177,4/14/1998,Australia,Arun Jaitley Stadium,c †A C Gilchrist b D W Fleming,15,24,62.5
184,178,4/17/1998,New Zealand,Sharjah Cricket Stadium,c S B Doull b C Z Harris,40,41,97.56
185,179,4/19/1998,Australia,Sharjah Cricket Stadium,c †A C Gilchrist b D W Fleming,80,72,111.11
186,180,4/20/1998,New Zealand,Sharjah Cricket Stadium,run out,38,58,65.52
187,181,4/22/1998,Australia,Sharjah Cricket Stadium,c †A C Gilchrist b D W Fleming,143,131,109.16
188,182,4/24/1998,Australia,Sharjah Cricket Stadium,lbw b M S Kasprowicz,134,131,102.29
189,183,5/25/1998,Bangladesh,Wankhede Stadium,c Aminul Islam b Athar Ali Khan,33,29,113.79
190,184,5/28/1998,Kenya,Captain Roop Singh Stadium,c A Y A Karim b M A Suji,18,25,72
191,185,5/31/1998,Kenya,Eden Gardens,not out,100,103,97.09
192,186,6/19/1998,Sri Lanka,R Premadasa Stadium,c M S Atapattu b M Muralitharan,65,50,130
193,187,6/23/1998,New Zealand,R Premadasa Stadium,c & b C Z Harris,53,36,147.22
194,188,7/1/1998,Sri Lanka,Sinhalese Sports Club Ground,c & b H D P K Dharmasena,17,16,106.25
195,,7/3/1998,New Zealand,Sinhalese Sports Club Ground,did not bat,,,
196,189,7/7/1998,Sri Lanka,R Premadasa Stadium,st R S Kaluwitharana b S T Jayasuriya,128,131,97.71
197,190,9/20/1998,Pakistan,"Cricket, Skating & Curling Club",c InzamamulHaq b Aamir Sohail,77,109,70.64
198,191,9/26/1998,Zimbabwe,Queens Sports Club,not out,127,130,97.69
199,192,9/27/1998,Zimbabwe,Queens Sports Club,c C B Wishart b M L Nkala,29,21,138.1
200,193,9/30/1998,Zimbabwe,Harare Sports Club,c C N Evans b H H Streak,2,6,33.33
201,194,10/28/1998,Australia,Bangabandhu National Stadium,run out,141,128,110.16
202,195,10/31/1998,West Indies,Bangabandhu National Stadium,c C L Hooper b M V Dillon,8,14,57.14
203,196,11/6/1998,Sri Lanka,Sharjah Cricket Stadium,c †R S Kaluwitharana b W P U J C Vaas,3,6,50
204,197,11/8/1998,Zimbabwe,Sharjah Cricket Stadium,not out,118,112,105.36
205,198,11/9/1998,Sri Lanka,Sharjah Cricket Stadium,c M S Atapattu b G P Wickramasinghe,18,28,64.29
206,199,11/11/1998,Zimbabwe,Sharjah Cricket Stadium,c G W Flower b H K Olonga,11,12,91.67
207,200,11/13/1998,Zimbabwe,Sharjah Cricket Stadium,not out,124,92,134.78
208,201,1/9/1999,New Zealand,Owen Delany Park,c C Z Harris b C L Cairns,0,5,0
209,202,1/12/1999,New Zealand,McLean Park,c B A Young b D J Nash,23,19,121.05
210,203,1/14/1999,New Zealand,Basin Reserve,st A C Parore b G R Larsen,45,42,107.14
211,204,1/16/1999,New Zealand,Eden Park,lbw b C L Cairns,5,12,41.67
212,205,5/15/1999,South Africa,County Ground (Hove),c †M V Boucher b L Klusener,28,46,60.87
213,206,5/23/1999,Kenya,County Ground (Bristol),not out,140,101,138.61
214,207,5/26/1999,Sri Lanka,The Cooper Associates County Ground,b S T Jayasuriya,2,3,66.67
215,208,5/29/1999,England,Edgbaston,c G A Hick b M A Ealham,22,40,55
216,209,6/4/1999,Australia,Kennington Oval,c †A C Gilchrist b G D McGrath,0,4,0
217,210,6/8/1999,Pakistan,Old Trafford,c Saqlain Mushtaq b Azhar Mahmood,45,65,69.23
218,211,6/12/1999,New Zealand,Trent Bridge,b D J Nash,16,22,72.73
219,212,8/23/1999,Australia,Galle International Stadium,c D S Lehmann b T M Moody,14,33,42.42
220,213,8/25/1999,Sri Lanka,R Premadasa Stadium,run out,37,58,63.79
221,214,8/29/1999,Sri Lanka,Sinhalese Sports Club Ground,c M Muralitharan b D N T Zoysa,120,141,85.11
222,215,9/4/1999,Zimbabwe,Kallang Ground,c S V Carlisle b A R Whittall,85,72,118.06
223,216,9/7/1999,West Indies,Kallang Ground,c †R D Jacobs b C A Walsh,40,65,61.54
224,217,9/8/1999,West Indies,Kallang Ground,c H R Bryan b C A Walsh,0,6,0
225,218,11/5/1999,New Zealand,Madhavrao Scindia Cricket Ground,c C L Cairns b S B Styris,32,31,103.23
226,219,11/8/1999,New Zealand,Lal Bahadur Shastri Stadium,not out,186,150,124
227,220,11/11/1999,New Zealand,Captain Roop Singh Stadium,c S P Fleming b C J Drum,1,23,4.35
228,221,11/14/1999,New Zealand,Nehru Stadium (Guwahati),c C M Spearman b C J Drum,2,10,20
229,222,11/17/1999,New Zealand,Arun Jaitley Stadium,c & b D L Vettori,0,3,0
230,223,1/10/2000,Pakistan,Brisbane Cricket Ground,b Abdul Razzaq,13,26,50
231,224,1/12/2000,Australia,Melbourne Cricket Ground,run out,12,11,109.09
